surveyYear,JobTitle__,RoleMultichoice
2020,Academic Coordinator,
2020,Accessibility Product Manager,"Leadership (Manager, Director, VP, etc.)"
2020,Actuary,Analyst
2020,"Adjunct lecturer, Freelancer",
2020,Administrative Coordinator,
2020,Advisor,Cartographer
2020,Advisor Information & Data Analysis,None of these describes my role
2020,Advisory Analyst,Analyst
2020,Advisory Data Analyst,Analyst
2020,agricultural researcher,Academic/Teacher
2020,Analyst,
2020,Analyst,Analyst
2020,Analyst,Analyst
2020,Analyst,Analyst
2020,Analyst,Analyst
2020,Analyst,Analyst
2020,Analyst,Analyst
2020,Analyst,Analyst
2020,Analyst,Analyst
2020,Analyst,Designer
2020,analyst,Analyst
2020,Analyst,Analyst
2020,Analyst,Analyst
2020,Analyst,
2020,Analyst,Analyst
2020,Analyst,Analyst
2020,Analyst,Analyst
2020,Analyst,Analyst
2020,Analyst,Analyst
2020,Analyst,Analyst
2020,Analyst,Analyst
2020,Analyst,Analyst
2020,Analyst Programmer-Career,Analyst
2020,Analytical generalist,Analyst
2020,Analytics Adviser,Analyst
2020,Analytics and Insights Lead,Analyst
2020,Analytics Architect,Developer
2020,Analytics consultant,"Leadership (Manager, Director, VP, etc.)"
2020,Analytics Consultant,Analyst
2020,Analytics consultant,Developer
2020,Analytics Developer,Analyst
2020,Analytics Engineer,Analyst
2020,Analytics Evangelist,Designer
2020,Analytics Executive,Analyst
2020,Analytics Manager,"Leadership (Manager, Director, VP, etc.)"
2020,Analytics manager,Analyst
2020,Analytics Manager,Analyst
2020,Analytics manager,Analyst
2020,Analytics Product Manager,"Leadership (Manager, Director, VP, etc.)"
2020,Analytics Strategist,Developer
2020,Android Course Instructor,Student
2020,Application Specialist,Analyst
2020,Application team lead,Engineer
2020,Artist Researcher,
2020,"Artist, independently studying data visualization",
2020,Ascociate Product Designer,Designer
2020,Assistant Director,"Leadership (Manager, Director, VP, etc.)"
2020,Assistant Director of Data Science & Research,Scientist
2020,"Assistant Director, Data Analytics","Leadership (Manager, Director, VP, etc.)"
2020,Assistant Professor,Academic/Teacher
2020,Assistant Professor,Academic/Teacher
2020,Assistant Professor,Academic/Teacher
2020,Assistant Professor,Academic/Teacher
2020,Assistant Professor,Academic/Teacher
2020,Assistant Professor,Academic/Teacher
2020,Assistant Professor,Teacher
2020,Assistant professor,Academic/Teacher
2020,Assistant Professor,Academic/Teacher
2020,assistant professor,Teacher
2020,Assistant Professor,Academic/Teacher
2020,Assistant Professor,Academic/Teacher
2020,Assistant Professor,Academic/Teacher
2020,Assistant professor and audiovisual communication coordinator,Designer
2020,Assistant Professor of Art,Academic/Teacher
2020,Assistant Professor of Communication,Academic/Teacher
2020,Assistant Professor of Computer Science,Academic/Teacher
2020,Assistant Professor of Nursing,Academic/Teacher
2020,Assistant Provost for Institutional Research,"Leadership (Manager, Director, VP, etc.)"
2020,Assoc professor,Academic/Teacher
2020,Associate,
2020,Associate,Designer
2020,Associate Business Analyst,Analyst
2020,Associate Data Analyst,Analyst
2020,Associate Data Scientist,
2020,Associate Data Scientist,Scientist
2020,Associate Director,"Leadership (Manager, Director, VP, etc.)"
2020,Associate Director,None of these describes my role
2020,Associate Director of Data Analytics,Analyst
2020,"Associate Director, Talent Analytics",Analyst
2020,"Associate Monitoring Advisor, Malaria and WASH",Analyst
2020,Associate Principal,"Leadership (Manager, Director, VP, etc.)"
2020,Associate process manager,None of these describes my role
2020,Associate process manager,None of these describes my role
2020,Associate Professor,Academic/Teacher
2020,Associate Professor,Scientist
2020,Associate Professor,Academic/Teacher
2020,Associate professor,Academic/Teacher
2020,Associate Professor,Academic/Teacher
2020,Associate Professor,Academic/Teacher
2020,Associate Professor,Analyst
2020,Associate professor,Academic/Teacher
2020,Associate Professor,Designer
2020,Associate Professor of Psychology,Academic/Teacher
2020,Associate Research Scholar,Designer
2020,Asst. Team Lead,Analyst
2020,Audience Insights & Research Coordinator,Analyst
2020,Auditor,
2020,Augmented Insights Manager,"Leadership (Manager, Director, VP, etc.)"
2020,Augmented Insights Manager,"Leadership (Manager, Director, VP, etc.)"
2020,AVP,"Leadership (Manager, Director, VP, etc.)"
2020,Behavioral Scientist,Scientist
2020,BI & Analytics Consultant,Analyst
2020,BI Analyst,Analyst
2020,BI Analyst,Analyst
2020,BI Consultant,Designer
2020,Bi expert,Analyst
2020,BI Manager,Analyst
2020,Bi supervisor,Engineer
2020,BI-analyst,Analyst
2020,BI-analyst,Analyst
2020,Bioinformatics data analyst,Analyst
2020,"Bioprocess engineer, independent, tinkerer.",
2020,Biostatistician helper,Analyst
2020,Business analysis,
2020,Business Analyst,Analyst
2020,Business Analyst,Analyst
2020,Business analyst,Analyst
2020,Business Analyst,Analyst
2020,Business Analyst,Student
2020,Business Analyst,Analyst
2020,Business Analyst,Analyst
2020,Business Analyst,Analyst
2020,Business Analyst,Analyst
2020,Business Analytics and Research Manager,Analyst
2020,Business Analytics Manager,Analyst
2020,Business Architect,None of these describes my role
2020,Business Data Analyst,Developer
2020,Business Data Analyst,Engineer
2020,Business Development Manager,Analyst
2020,Business Development Specialist,Analyst
2020,Business developper,"Leadership (Manager, Director, VP, etc.)"
2020,Business Insight Consultant,Developer
2020,Business Insights Developer III,Developer
2020,Business Intelligence & Insights Analyst,Analyst
2020,Business Intelligence Analyst,
2020,Business Intelligence Analyst,Analyst
2020,Business Intelligence Analyst,Analyst
2020,Business Intelligence Analyst,Analyst
2020,Business intelligence analyst,Analyst
2020,Business Intelligence Analyst,Analyst
2020,Business Intelligence Analyst,Analyst
2020,Business intelligence Analyst,Analyst
2020,Business Intelligence Analyst,Analyst
2020,Business Intelligence Analyst,Analyst
2020,Business Intelligence Analyst,
2020,Business Intelligence Analyst,Analyst
2020,business intelligence analyst,Analyst
2020,Business Intelligence Analyst,Analyst
2020,Business Intelligence Analyst,Analyst
2020,Business Intelligence Analyst,Analyst
2020,Business Intelligence Analyst,Developer
2020,Business Intelligence and Analytics Consultant,Analyst
2020,Business Intelligence Architect,Developer
2020,Business intelligence consultant,Analyst
2020,Business Intelligence Consultant,Analyst
2020,Business Intelligence Consultant,Analyst
2020,Business Intelligence Developer,Developer
2020,Business Intelligence Developer,Developer
2020,Business Intelligence Developer,Developer
2020,Business Intelligence developer,Developer
2020,Business Intelligence Engineer,Engineer
2020,Business Intelligence Engineer,Engineer
2020,Business Intelligence Engineer,Analyst
2020,Business Intelligence Manager,"Leadership (Manager, Director, VP, etc.)"
2020,Business Intelligence Manager,Developer
2020,Business Intelligence Manager,"Leadership (Manager, Director, VP, etc.)"
2020,Business Intelligence Manager,Analyst
2020,Business Intelligence Specialist,Analyst
2020,Business Intelligence Specialist,Analyst
2020,Business Intelligent,Student
2020,Business Manager,Analyst
2020,Business Metrics Analyst,Analyst
2020,Business Strategy Consultant,Analyst
2020,Business/Data Analyst,
2020,Category Manager,Analyst
2020,CEO,
2020,CEO,"Leadership (Manager, Director, VP, etc.)"
2020,CEO,"Leadership (Manager, Director, VP, etc.)"
2020,CEO,Academic/Teacher
2020,CEO,Engineer
2020,CEO,"Leadership (Manager, Director, VP, etc.)"
2020,CEO,Analyst
2020,CEO,Teacher
2020,CEO,"Leadership (Manager, Director, VP, etc.)"
2020,CEO,None of these describes my role
2020,CEO,"Leadership (Manager, Director, VP, etc.)"
2020,CEO,Analyst
2020,CEO,
2020,CEO,"Leadership (Manager, Director, VP, etc.)"
2020,"CEO, Professor",Designer
2020,Chief Creative Officer,Student
2020,Chief Data scientist,Scientist
2020,Chief Data Scientist,Developer
2020,Chief Digital Officer,"Leadership (Manager, Director, VP, etc.)"
2020,chief of IT service of hospital,
2020,Chief Research & Planning Officer,"Leadership (Manager, Director, VP, etc.)"
2020,Chief Visualization Officer,"Leadership (Manager, Director, VP, etc.)"
2020,Chr,
2020,Civil Servant,Analyst
2020,Clinical Associate Professor,Academic/Teacher
2020,Cloud Machine Learning Specialist,Engineer
2020,Co Founder,Academic/Teacher
2020,Co-founder,Analyst
2020,Co-founder,"Leadership (Manager, Director, VP, etc.)"
2020,Co-founder and Chief Data Visualization Officer,Analyst
2020,Coeditor de Infografía,Designer
2020,Coeditor web,Journalist
2020,Cofounder & COO,"Leadership (Manager, Director, VP, etc.)"
2020,College Administrator,Student
2020,Commercial Operations Analyst & Data Visualist,Analyst
2020,Communications & Advocacy Officer,Designer
2020,Communications Analyst,Analyst
2020,Communications and engagement manager,Journalist
2020,Communications and Partnerships Manager,Analyst
2020,Communications Consultant,Designer
2020,Communications Manager,None of these describes my role
2020,Communications Specialist,
2020,Community Evangelist,None of these describes my role
2020,Community Planner,None of these describes my role
2020,Computer engineer,Analyst
2020,Consultant,Developer
2020,Consultant,Student
2020,consultant,None of these describes my role
2020,Consultant,Journalist
2020,Consultant,None of these describes my role
2020,Consultant,"Leadership (Manager, Director, VP, etc.)"
2020,Consultant,Engineer
2020,Consultant,Teacher
2020,Consultant,Analyst
2020,Consultant,Developer
2020,Consultant,Designer
2020,Consultant,Analyst
2020,Consultant,Engineer
2020,Consultant,None of these describes my role
2020,Consultant,Developer
2020,Consultant,Analyst
2020,Consultant,Analyst
2020,Consultant,Analyst
2020,Consultant and Instructor,"Leadership (Manager, Director, VP, etc.)"
2020,Consultant and Product Manager,Teacher
2020,Consultant in strategy,
2020,Consulting Data Analyst,Analyst
2020,"Contaminated Land, Closure and Data Scientist",Scientist
2020,Content manager,
2020,Controller,
2020,Controller,Analyst
2020,Coordinator of Research and Evaluation,Analyst
2020,Corporate Analyst,Analyst
2020,Creative director,Designer
2020,Creative Director,Designer
2020,Creative Director,"Leadership (Manager, Director, VP, etc.)"
2020,"Creative Director, Founder of Bass Designs, Inc.",Designer
2020,Creative Dr. / Science visual communicator,Journalist
2020,Credit Risk Analyst,
2020,Criminal Justice Senior Evaluator,Analyst
2020,CRM Analyst,Analyst
2020,CTO,
2020,CTO,"Leadership (Manager, Director, VP, etc.)"
2020,CTO,Engineer
2020,Currently it's Communications Manager,Journalist
2020,Currently unemployed (previously project manager),"Leadership (Manager, Director, VP, etc.)"
2020,Curriculum Developer,Analyst
2020,Customer Analyst,Analyst
2020,Customer Engagement,"Leadership (Manager, Director, VP, etc.)"
2020,d,
2020,Data & Analytics Lead,Analyst
2020,Data & Analytics Project Manager,None of these describes my role
2020,Data & Impact Manager,Analyst
2020,Data & Information Specialist,Analyst
2020,Data & Innovation Specialist,Teacher
2020,Data & Insights Manager,"Leadership (Manager, Director, VP, etc.)"
2020,Data + Impact Editor,Journalist
2020,Data Amalyst,Analyst
2020,Data analist,
2020,Data Analysis,Student
2020,Data Analysis & Visualization Engineer,Designer
2020,Data Analyst,Analyst
2020,Data Analyst,Analyst
2020,Data analyst,Analyst
2020,Data Analyst,Analyst
2020,Data analyst,
2020,Data Analyst,Analyst
2020,Data Analyst,Analyst
2020,Data Analyst,Analyst
2020,Data analyst,Analyst
2020,Data Analyst,Analyst
2020,Data Analyst,Engineer
2020,Data analyst,Analyst
2020,Data Analyst,Analyst
2020,Data Analyst,Developer
2020,Data Analyst,Analyst
2020,Data Analyst,Analyst
2020,Data Analyst,Analyst
2020,Data Analyst,Analyst
2020,Data Analyst,Developer
2020,Data Analyst,Analyst
2020,Data Analyst,Developer
2020,Data Analyst,
2020,Data Analyst,Analyst
2020,Data analyst,Analyst
2020,Data Analyst,Analyst
2020,Data Analyst,Analyst
2020,Data Analyst,Analyst
2020,DATA ANALYST,Analyst
2020,Data analyst,Analyst
2020,Data Analyst,Analyst
2020,Data Analyst,Analyst
2020,Data Analyst,Analyst
2020,Data analyst,Analyst
2020,Data Analyst,Analyst
2020,Data Analyst,Analyst
2020,Data Analyst,Analyst
2020,Data analyst,Analyst
2020,Data Analyst,Analyst
